system,area
Na2Li1Y1F6,0.007
Cs2K1Bi1I6,0.9501
Cs2Na1Au1Br6,1.3538
K2Na1Al1F6,0.0039
K2Ce1Cu1Br6,0.776
K2Ce1Cu1Cl6,0.6776
Cs2Na1As1Br6,1.1646
Na2Y1Cu1Br6,0.6061
Rb2In1Au1F6,0.4324
Rb1Fe1Cl3,0.9644
K2Na1Y1Cl6,0.0212
K2La1Cu1Cl6,0.4975
K2Ag1Pd1F6,4.1991
Rb2Al1Ag1F6,0.0107
Cs2Rb1Au1Br6,1.1489
K2Pr1Ag1F6,0.0717
Cs1Cd1Cl3,0.367
Cs2Na1Mo1Cl6,0.0686
Cs2Sm1Au1Cl6,0.7709
Cs2Li1Bi1Cl6,0.068
Cs2Sc1Tl1Br6,0.1809
K1Rb2Sc1F6,0.0064
Rb2Nd1Ag1Cl6,0.0412
Rb2Sb1Au1Cl6,5.6304
Cs2Na1Al1F6,0.0062
Na2Hg1Sb1F6,1.4548
Rb1Na2Al1F6,0.0057
K1Cu1Cl3,0.8989
Cs2Ga1Ag1Cl6,1.132
Cs2K1Ta1Br6,0.262
Cs2Rb1Sc1Br6,0.0727
K2Rb1Au1Cl6,0.7452
K1Na2Ta1F6,0.7245
Cs1Rb2Au1Cl6,0.7158
Cs2K1Au1F6,0.2673
Cs1K2Sc1Cl6,0.0308
Rb2Na1Yb1F6,0
Cs2Li1Y1Br6,0.0467
Cs2Ta1Cu1Br6,1.6335
K2Eu1Au1Cl6,0.3638
K2Rb1Tl1F6,0.0165
K1Mn1F3,0.0265
K2Rb1In1Cl6,0.0241
Rb2Cu1Sb1F6,3.7968
Cs1K2In1F6,0.0086
K2Rb1Ga1F6,0.0058
Cs2Dy1Cu1Cl6,0.3025
Rb2Nd1Ag1Br6,0.0943
Cs2Tl1Cu1Cl6,1.7638
Rb2Al1Ag1Br6,0.7982
Cs2In1Hg1I6,2.5926
Rb2Tl1In1Br6,1.7719
Rb2Na1In1Br6,0.4479
Rb1Ge1I3,8.1268
K2Rb1Al1F6,0.0044
K2Al1Tl1I6,1.7877
Na2Tl1Cu1F6,1.8744
K2Rb1Al1I6,0.2987
Na2Sm1Cu1Cl6,0.3426
K1Rb2Mn1F6,0.0262
K1Ni1F3,0.0539
K2In1Hg1I6,2.4906
K2Rb1Ga1I6,0.6921
Cs2Li1Sc1Cl6,0.0437
Rb2Tm1Ag1Cl6,0.032
Cs2Ta1Tl1F6,1.2911
K2Hg1Mo1F6,0.1342
Cs2Ag1Ir1F6,0.2312
Rb2Na1Ce1Cl6,0.0702
Cs1Rb2As1Cl6,0.123
Rb2Na1Ce1I6,0.4492
Cs2Al1Ag1F6,0.0108
K2Na1Sb1Cl6,0.2009
Cs2Tl1Cu1F6,1.1261
Cs2K1Mn1F6,0.0265
Rb2Na1Rh1F6,0.0429
Cs1K2Ir1F6,0.0254
Cs1Sn1Br3,4.1356
Cs2K1Sb1F6,0.0357
Cs2Na1Pr1I6,0.1959
Na2Hg1Au1F6,2.2387
K2Rb1Mo1Cl6,0.0681
Rb2Li1Sb1F6,0.0355
Rb2Al1Ag1Cl6,0.1112
K1Rb2Ga1Br6,0.3044
Rb1Pb1Cl3,0.9886
K2Y1Au1F6,0.2837
Rb2Li1Mo1Cl6,0.1079
Na2Cr1Au1F6,2.3976
Na2V1Ag1F6,0.2624
Cs2Cu1Sb1I6,6.785
K1Rb2Al1Br6,0.0322
Na2Tl1As1F6,0.6886
K2Sc1Tl1Br6,0.1762
Rb2Ni1Au1F6,2.9764
K1Rb2Gd1Cl6,0.0199
K2Li1Sb1F6,0.0387
Cs2In1Cu1Cl6,1.9487
Cs2Na1Ga1F6,0.0074
K2Y1Cu1F6,0.2576
Rb2Li1Bi1Br6,0.2352
Rb2Sc1Hg1Br6,1.3299
K2Nd1Cu1Br6,0.6828
K2Pr1Ag1Cl6,0.0424
Rb1Mg1F3,0.0047
Cs2K1Ga1I6,0.6342
Cs1Ca1Cl3,0.018
Rb2Tl1As1Cl6,3.0039
Cs2As1Au1I6,7.5304
Rb2Li1Sc1F6,0.0076
Cs2K1Mo1Cl6,0.0505
Rb2Pr1Ag1I6,0.8481
K2Lu1Au1Cl6,0.6662
Cs2Tl1Ru1F6,0.1324
Cs2Tl1Rh1F6,0.2002
K2Y1Ag1I6,0.7838
Cs2Li1Bi1F6,0.0211
Rb2La1Cu1Cl6,0.4906
Na2Li1Eu1Cl6,0.1545
Cs1Rb2Y1F6,0.0065
Cs2Li1Mo1F6,0.0418
K2Na1Bi1Cl6,0.057
Cs2Rb1In1F6,0.0082
Rb2Tl1Ag1F6,2.4099
Rb2Pr1Cu1F6,0.7084
Cs2Rb1Y1Cl6,0.0194
Na2Li1Sb1F6,0.0581
Rb2Al1Hg1F6,0.0541
Cs2Li1Eu1Cl6,0.0797
K2Tl1Rh1F6,0.6994
Cs2Ag1As1F6,0.4499
K2Rb1Sc1F6,0.0062
Cs2K1Nd1Br6,0.0368
Cs2Er1Au1Cl6,0.6803
Rb2Sc1Cu1F6,0.7944
Rb2Tl1Hg1I6,3.2451
K1Rb2Ga1F6,0.0057
K2Na1Ru1F6,0.0494
K1Rb2Al1Cl6,0.0157
Rb2Al1Au1F6,0.1409
Cs2Li1Ta1Br6,0.3834
Rb2Ag1Mo1Br6,1.6904
K1Na2As1F6,0.0493
Cs2Ag1Sb1Br6,4.7122
Cs2Ta1Ag1Br6,0.635
K2Na1Ce1F6,0.1557
K2Al1Hg1Br6,1.454
Cs2Er1Cu1Cl6,0.2694
Cs2La1Au1Cl6,0.4685
Li1Tl2In1F6,0.0457
Cs2K1Pd1F6,0.0536
K2Rb1Ta1Br6,0.3198
Cs2Tl1V1F6,0.126
Rb2Sc1Hg1Cl6,0.7389
Rb2Ag1Au1Br6,2.321
Rb2Li1Bi1I6,2.5787
Cs2Li1Au1Cl6,1.6442
Cs2Na1Y1F6,0.0071
Na2Y1Hg1F6,1.1426
Cs2Na1Sc1Cl6,0.037
K2Li1Gd1Cl6,0.0245
K1Rb2Tl1F6,0.0159
K1Rb2Rh1F6,0.0206
Cs2K1Sb1I6,1.897
Rb2Ni1Ag1F6,3.1179
K2Pr1Cu1Br6,0.7549
Rb2Tl1Cr1F6,0.0772
Rb1V1F3,0.0449
Rb2Y1Hg1I6,0.8883
Rb1Ag1F3,0.4631
K2Al1Tl1Br6,0.3665
Rb2Li1Dy1Br6,0.0442
K1Rb2Al1F6,0.0044
Cs2Rb1In1Cl6,0.0238
K2Li1Tl1F6,0.0209
K1Rb2As1F6,0.0241
Cs2Rb1Y1F6,0.0067
Cs2Rb1Sb1I6,1.928
Na2Li1Ce1Cl6,0.1193
Cs2Y1Cu1F6,0.1498
Cs2K1Nd1Cl6,0.0203
Na1Tl2Mo1F6,0.1681
K2In1Hg1Br6,1.0843
Rb2Ti1Ag1F6,0.1074
Na2In1Hg1F6,1.2999
Rb2Ta1Ag1Cl6,0.3365
K2Ag1Sb1Br6,4.7626
Cs1Ca1F3,0.007
Rb2Na1Tb1F6,0.0058
Cs2K1Sc1I6,1.313
K2Na1Nd1I6,0.1986
Cs1Rb2Sc1F6,0.0071
Cs2Er1Ag1Cl6,0.0324
Cs2Al1Tl1I6,1.7064
Rb1Na2As1F6,0.15
Rb2Na1Tl1Br6,1.1672
K2Li1Nd1F6,0.0065
Rb2Tl1Fe1F6,0.3485
Na2Li1Ru1F6,0.1003
Rb2Y1Au1Br6,1.0928
Cs2As1Au1F6,1.9917
Cs2Tl1Ag1Cl6,2.8361
K2Li1Lu1Cl6,0.0212
Rb2Fe1Au1F6,2.5967
Rb2Ta1Au1F6,2.0735
K2Na1Sb1F6,0.042
Rb2Na1Ta1I6,1.4922
K1Na2Co1F6,0.0333
Rb2Cu1Au1Cl6,1.3492
Na2Li1La1Cl6,0.0242
Rb2Ce1Ag1Cl6,0.2715
Rb2Sc1Tl1Cl6,0.0618
Cs2K1Pr1F6,0.0074
K2Tl1In1I6,2.214
K2Na1Ce1Br6,0.0967
Cs2K1Sc1F6,0.0077
Cs2Na1Fe1F6,0.1272
Cs2K1Gd1Cl6,0.0198
Cs2Ce1Ag1F6,0.1498
K2Ce1Ag1Br6,0.3418
Na2Li1Ti1F6,0.0363
K2Hg1As1F6,0.0612
K2Fe1Au1F6,2.7655
Rb2Na1Al1F6,0.0044
Cs2Li1Tm1Cl6,0.0215
Cs2Na1As1Cl6,0.1645
K2Eu1Ag1Cl6,0.4689
Cs2Na1Tb1F6,0.0071
Rb2Cr1Ag1F6,0.4406
K2Na1Co1F6,0.0378
K2Li1Ta1Cl6,0.2386
Rb2Li1Y1Br6,0.0457
Rb2Sc1Ag1I6,2.3521
K2Li1Sb1I6,3.6234
Cs2Rb1Bi1I6,0.8008
Rb2Lu1Ag1Cl6,0.031
Rb2Na1Au1Cl6,1.3441
Cs2Pr1Cu1I6,1.388
Rb2Li1Mo1Br6,0.508
K1Ag1Cl3,0.9356
Rb2Li1Bi1Cl6,0.0671
Cs2Hg1Sb1I6,5.2747
K2Rb1Pd1F6,0.0642
Cs2Na1In1I6,0.8198
K1Tl2Mo1F6,0.2328
K2Li1Ce1Cl6,0.0725
Rb2La1Ag1Cl6,0.0358
Rb2Na1Bi1I6,1.7386
K2Na1Gd1Cl6,0.0216
Rb1Ca0.25Sn0.375Ge0.25Pb0.125Br3,2.8211
Cs2Li1La1Br6,0.0303
K2Li1Sb1Br6,1.1464
Rb1Pd1F3,1.4613
Rb2Al1Cu1F6,0.0891
Rb2Pr1Ag1Cl6,0.0408
K2Na1Ta1I6,1.5274
K2Bi1Au1F6,1.7645
Rb2Na1Tl1I6,1.1769
Rb2Tl1Cu1F6,1.4944
K2Gd1Au1Cl6,0.7853
Rb1Cu1Br3,1.4204
Na2Y1Cu1Cl6,0.3011
Rb2Nd1Ag1I6,0.8158
K2Ta1Tl1F6,1.5807
Na2Ga1Ag1I6,2.1214
K2Rb1Y1F6,0.0058
Cs2K1In1Cl6,0.024
Cs2Tm1Ag1Cl6,0.032
K1Fe1F3,0.0271
Na2Ag1Ru1F6,0.8482
Cs2K1Bi1F6,0.0185
Rb2Ru1Au1F6,1.7328
K2Ru1Au1F6,1.8898
Rb2Tb1Au1Cl6,0.7567
K2Tb1Cu1Cl6,0.2782
K2V1Hg1F6,0.1737
Rb2Ga1Au1I6,3.7385
Cs2Ce1Ag1Br6,0.3194
Rb2Na1Mo1I6,1.9585
Cs2Sc1Hg1I6,2.4128
Cs2Na1Ce1Cl6,0.0647
Na2Al1Cu1F6,0.248
Na2Al1Hg1F6,0.4553
Rb2Cr1Hg1F6,1.5741
K1Rb2Ga1Cl6,0.0235
K2Pr1Ag1Br6,0.1157
Cs2Na1La1Br6,0.0342
Cs2Na1Tb1Cl6,0.0215
K1Rb2Bi1F6,0.0188
K2Cr1Au1F6,1.8748
K2Ni1Hg1F6,1.2321
K2Rb1Al1Cl6,0.0162
Rb2Y1Au1Cl6,0.6849
K1Mg1F3,0.0042
K2Sm1Au1Cl6,0.8304
K2Li1Y1Cl6,0.0235
K1Ba0.125Sr0.25Ca0.125Ge0.5Br3,0.1393
K1Ca1F3,0.0054
Cs2Na1Ce1F6,0.1592
Na2Ga1Hg1Br6,1.2566
K2Y1Ag1Cl6,0.0367
K1Na2Ti1F6,0.0697
Cs1Rb2Ti1F6,0.0866
Cs1Sr1F3,0.0071
Cs2Al1Au1I6,2.9634
Rb2Ga1Hg1F6,0.0934
K2Na1Bi1I6,1.7397
Rb2Na1Ce1F6,0.1549
Cs2Tl1As1Br6,4.9075
Cs2Na1Ir1F6,0.04
Cs2Tb1Ag1Cl6,0.0347
Cs2Al1Hg1Cl6,0.9287
Rb1Hg1F3,0.2635
Cs1K2Sc1F6,0.0069
K1Ca0.875Ge0.125I3,0.2874
Na2Al1Hg1Br6,1.4538
Na2Co1Ag1F6,5.7395
K2Rb1Mo1I6,1.3234
K2Ag1Ru1F6,0.5286
Cs2Lu1Ag1Cl6,0.0304
Cs2K1Nd1I6,0.1219
K1Rb2Sc1Cl6,0.032
Cs2Na1Nd1F6,0.0078
K2Li1Tm1Cl6,0.0217
K2Y1Ag1F6,0.0416
Cs2Na1Nd1Br6,0.043
Rb2Mn1Tl1F6,0.546
K2Al1Au1I6,2.8926
K2Na1As1Br6,1.1215
Cs2K1Cr1F6,0.0128
K1Rb2Pd1F6,0.0567
Cs2K1Sc1Cl6,0.0326
K2Na1Mn1F6,0.0406
Rb2Al1Tl1Cl6,0.0434
Rb2Sb1Au1F6,2.3065
Rb2Y1Tl1F6,0.021
Cs2Tb1Cu1Cl6,0.3125
K2Na1Tl1F6,0.0185
K2Lu1Cu1Cl6,0.2259
K2Na1Nd1Cl6,0.0233
K2Na1Mo1F6,0.0207
Cs2Tl1Cr1F6,0.0597
Cs2Na1Yb1Cl6,0.0344
Rb2Dy1Ag1Cl6,0.0339
K2Na1Al1Cl6,0.0165
Cs2K1Ce1I6,0.3413
K2Tl1Au1F6,2.5032
Rb2Sm1Ag1Cl6,0.0379
Cs2As1Au1Cl6,6.6989
Rb2Na1Ho1F6,0.0054
Rb2Na1Au1Br6,1.4076
Cs2Li1In1F6,0.0102
K1Rb2La1Cl6,0.0155
Na2Tl1Ni1F6,3.4169
Cs2K1Ga1Cl6,0.0258
Cs2Na1Al1Cl6,0.018
Rb2Cu1Pd1F6,1.2893
K2Ce1Au1Cl6,0.9786
Cs1Ag1Br3,1.1267
Na2Li1Tl1F6,0.024
Cs2Cu1Au1Cl6,1.4282
Rb2Al1Au1I6,2.9293
Rb2Al1Tl1Br6,0.3667
Cs2Li1Y1I6,0.2574
Na1Tl2In1F6,0.0378
Cs1Rb2As1F6,0.03
Na2Al1Ag1Cl6,0.0977
K2Li1Pr1I6,0.3785
Cs1K2Au1F6,0.2943
Rb2Er1Cu1Cl6,0.2729
Cs1K2Sb1F6,0.1065
K2Na1Ir1F6,0.0493
Cs2Cu1As1Cl6,6.0683
Rb2Hg1Bi1F6,0.8756
K2Nd1Ag1I6,0.8336
Na2Li1Bi1Cl6,0.0683
K2Na1In1I6,0.8211
Cs2K1Al1Cl6,0.016
Na2Ta1Au1F6,3.6542
K2Na1Ce1Cl6,0.077
Rb2Cu1Bi1Cl6,4.9578
Cs2Rb1As1I6,2.04
Rb2Li1Bi1F6,0.0201
Cs2K1Tl1Br6,0.928
Rb2Fe1Hg1F6,2.928
Rb2Na1Ga1Cl6,0.0401
K1Rb2Ir1F6,0.0217
Rb1Ag1Cl3,0.9129
Cs2Rb1Al1Br6,0.0319
Cs1Rb2Al1F6,0.0057
K2Ce1Ag1Cl6,0.2842
Cs2Rb1Sm1Cl6,0.0195
Cs1Sr1Cl3,0.0165
K2Ta1Ag1Br6,0.6538
K2Ni1Au1F6,3.1357
Cs1Ge0.125Pb0.875Cl3,1.3404
Rb2Dy1Au1Cl6,0.7284
Rb2Na1Au1F6,0.5536
Rb2Al1Au1Br6,1.3061
Cs2Ga1Au1Cl6,1.8836
Cs2Rb1Bi1Br6,0.1088
Cs2K1Au1Cl6,0.8372
Rb2Li1Pr1F6,0.0071
Rb2Na1La1Cl6,0.0182
K2Li1Cr1F6,0.032
Cs2Al1Cu1Cl6,0.6523
Rb2Cu1Ru1F6,3.6871
K2Hg1Ir1F6,1.725
Rb2Li1Mn1F6,0.0533
Rb2Pr1Ag1F6,0.0417
K1Rb2Co1F6,0.0252
Na2Pr1Cu1Cl6,0.4307
K2Rb1Sb1Cl6,0.1457
Cs2Li1Tb1Cl6,0.0233
Rb2Na1Er1Cl6,0.0201
Na2Li1N1F6,0.85
Rb2Ga1Hg1Br6,1.3795
Cs2Y1Tl1F6,0.019
Cs2Na1Tl1F6,0.02
Na2Mn1Au1F6,1.8601
K2Na1Bi1F6,0.0205
Rb2Li1Tl1F6,0.0233
K2Na1Fe1F6,0.0577
Cs2Li1Pr1I6,0.3481
K2Nb1Hg1F6,0.168
K2Fe1Ag1F6,2.116
Cs1K2Ti1F6,0.1223
Rb2Er1Ag1Cl6,0.0328
K2Ta1Au1F6,2.5062
Na2Li1Gd1Cl6,0.0278
Cs2K1Pr1Br6,0.0378
Cs2Li1Nd1Cl6,0.026
Cs2Na1In1Cl6,0.036
Cs2Rb1Fe1F6,0.0473
Cs2Na1Sc1F6,0.0083
K2Y1Cu1I6,1.234
Rb2Sm1Au1Cl6,0.8068
Rb2Li1Nb1F6,0.0758
Cs2Na1Ho1Cl6,0.0207
Cs2Pr1Ag1Cl6,0.0412
Cs2In1Hg1Br6,1.1778
K2Y1Hg1Br6,0.7086
Cs2Al1Tl1F6,0.0161
Cs1Rb2As1Br6,0.6649
K2Li1Tl1Br6,1.4212
Na2Li1Dy1Cl6,0.0263
Cs2Li1Bi1Br6,0.2601
Cs2K1Rh1F6,0.0199
Rb2In1Ag1Br6,2.0559
Rb2Hg1Sb1I6,5.3432
Cs2Eu1Au1Cl6,0.4027
Rb2Li1Nd1Cl6,0.0249
K2Y1Hg1Cl6,0.5207
K2Li1Ti1F6,0.0267
K1Rb2As1Br6,0.5027
K2Na1Pr1I6,0.2051
Cs2Rb1Sb1F6,0.0379
Cs1Rb2Nb1F6,0.2904
Cs2Pr1Au1Cl6,0.8308
K2Li1Ce1F6,0.1698
Na2Li1Mn1F6,0.0624
Rb2Ga1Au1Br6,2.8486
K2Nd1Ag1Br6,0.103
Rb2Hg1Ru1F6,1.158
K1Rb2Ti1F6,0.0184
K2Tl1Ag1Br6,2.4203
K2Rb1Sc1Cl6,0.0315
K2Li1Tl1Cl6,0.9784
K2Na1Y1Br6,0.0428
Rb2Tl1Hg1Br6,2.3467
Rb2Na1Tb1Cl6,0.0208
K1Ba0.25Sn0.125Ge0.625Cl3,2.0665
K2Rb1Mo1F6,0.0226
Rb2Na1As1Br6,1.1369
Rb2Al1Tl1F6,0.0169
Rb2Na1Y1I6,0.1604
K2Na1Pr1Cl6,0.0241
Cs2Li1Nd1Br6,0.0503
Na2Mn1Ag1F6,1.0149
Rb2Na1Mn1F6,0.0382
K2In1Hg1Cl6,0.7187
Cs2K1Ga1F6,0.007
Cs2Tb1Au1Cl6,0.7216
Rb2Na1Y1Cl6,0.0208
Cs2Rb1Cu1F6,0.5927
Cs1K2Al1F6,0.0056
K2Nd1Ag1F6,0.0657
Cs2Rb1Sb1Br6,0.6477
K2Hg1Sb1Cl6,2.3838
K2Al1Ag1Br6,0.7807
Cs2Na1Pr1F6,0.0079
Rb2Na1Nd1I6,0.2018
Rb2Na1Nd1F6,0.0064
Cs2Na1Ce1Br6,0.0853
Tl1Fe1F3,0.1166
K2Li1Tb1Cl6,0.0236
Na2Li1Sc1Cl6,0.0515
K2Li1La1Cl6,0.0168
Cs2Rb1Tl1F6,0.0168
Cs1Rb2Sc1Cl6,0.0305
Rb2Li1Ce1Br6,0.1218
Rb1Ca0.375Ge0.125Pb0.5Br3,1.3103
Cs1Mg1F3,0.007
K2La1Au1Cl6,0.5016
Cs2Na1In1F6,0.009
Rb2Ag1Ru1F6,0.3721
Cs2K1Co1F6,0.025
Cs2Gd1Au1Cl6,0.7302
K2Li1In1Cl6,0.0403
Cs2Tl1In1F6,0.0319
K2Ce1Ag1F6,0.2207
Cs2Rb1Al1Cl6,0.0164
Rb2Li1Pd1F6,0.1857
Cs2Na1Y1Cl6,0.0217
Na2Li1Ga1F6,0.0058
K2In1Au1Cl6,1.9415
Rb1Sn0.125Ge0.75Pb0.125I3,7.578
K2Mn1Au1F6,1.8061
Na2Ga1Au1F6,0.4461
Rb2Na1Ir1F6,0.0449
K2Dy1Cu1Cl6,0.2844
K2Mn1Tl1F6,0.6201
Na2Co1Au1F6,6.3365
Rb2Na1In1F6,0.0072
K2Nd1Cu1I6,1.344
Rb2Y1Ag1I6,0.7578
Rb2Pr1Cu1Cl6,0.4702
Na2Li1Cr1F6,0.0404
K2Na1Eu1Cl6,0.0414
Rb2Y1Cu1I6,1.2178
Cs2Y1Au1I6,1.9756
Na2Ti1Hg1F6,0.4156
K2Sm1Ag1Cl6,0.0408
K2Ag1Ir1F6,0.6585
Rb2Lu1Cu1Cl6,0.2217
Rb2Lu1Au1Cl6,0.6679
K1Tl2Cr1F6,0.1473
K2Li1Nd1Br6,0.0515
Na2Eu1Cu1Cl6,0.3563
Na2Li1Y1Br6,0.0596
Rb2Li1As1F6,0.0258
K2Na1Pr1F6,0.0066
Cs2Tl1In1I6,2.1475
Cs1Hg1F3,0.3284
Cs2Na1Bi1Br6,0.1864
Cs2Na1Gd1Cl6,0.0215
K2Rb1Tm1Cl6,0.0186
Cs1Sm1Cl3,0.2641
K2Rb1In1F6,0.0074
Cs2Li1Dy1Cl6,0.0225
Cs1Rb2Sb1Cl6,0.1664
Rb2Li1Ce1F6,0.1645
Cs1K2Mo1F6,0.041
Rb2Sc1Hg1F6,0.0588
K2Na1Sc1F6,0.0069
Rb2Nb1Hg1F6,0.1359
K2Tb1Ag1Cl6,0.0357
Rb2Na1Cr1F6,0.0183
Cs1K2As1F6,0.0341
Cs2Rb1Pd1F6,0.0537
Cs1Be1F3,0.0092
Rb2Ta1Ag1I6,2.3785
K1Cr1F3,0.4067
Cs1K2As1Br6,0.68
Na1Sc1Tl2F6,0.0304
Cs1Ba0.125Ge0.875I3,5.7981
Cs2Hg1As1F6,0.119
K2Ti1Cu1F6,1.2202
Cs2Rb1Eu1Cl6,0.0391
Cs1Rb2Ga1F6,0.0068
Cs2Al1Au1F6,0.1127
K1Hg1F3,0.2479
K1Sn1Cl3,3.4447
Rb2Li1Pr1Br6,0.0522
Cs2Ce1Ag1I6,0.7996
K2Al1Tl1F6,0.0184
Na2Li1Sm1Cl6,0.0289
Tl1Cu1Cl3,0.6255
K2Sc1Tl1F6,0.0227
Cs2Hg1Bi1I6,4.9141
Rb2Li1Tl1Br6,1.3808
K2Hg1Sb1Br6,3.641
Cs2Rb1Bi1F6,0.0192
Rb2Na1Ru1F6,0.0453
Cs2Na1Tm1Cl6,0.0199
Cs2Li1Ce1I6,0.5064
Cs2Ca1Sn1Cl6,0.0754
K2Li1Pr1Br6,0.0541
Rb2Na1Bi1F6,0.0191
Cs2Li1Tl1F6,0.0287
Na2As1Au1F6,2.6456
Rb2Y1Tl1I6,0.2566
Rb1Sn0.125Ge0.875I3,7.9659
K1Rb2Ru1F6,0.0264
Rb2Tl1Ag1Cl6,2.9697
Rb2Sc1Ag1F6,0.0146
Na2Hg1Mo1F6,0.6675
Na2Y1Ag1F6,0.14
Na2Tl1Ag1F6,2.6356
K2Ti1Ag1F6,0.1995
Rb2Li1Eu1Cl6,0.1121
K2Rb1Ga1Cl6,0.0232
Cs2Y1Cu1Br6,0.6077
K2Na1Nd1F6,0.0065
Rb2Sb1Au1I6,6.9913
K2Li1Al1F6,0.0037
Cs2K1Mo1F6,0.0224
K1Rb2Ga1I6,0.6494
Cs2Ag1Sb1F6,0.9379
Rb2Y1Tl1Br6,0.068
Na1Ti1F3,0.2951
Cs2Na1As1F6,0.0257
Rb2V1Cu1F6,1.6465
Cs2Na1Y1I6,0.1483
Cs2Li1La1Cl6,0.017
Na2Sc1Hg1F6,0.9443
Cs2Na1Mn1F6,0.0366
Cs2Li1Sm1Cl6,0.0251
Rb2Li1Dy1Cl6,0.0223
K2Dy1Au1Cl6,0.7381
Cs1K2Nb1F6,0.2927
K2Eu1Cu1Cl6,0.374
Cs1Rb2Al1Cl6,0.0166
Rb2Tl1Ga1I6,2.1426
Rb2Tb1Cu1Cl6,0.2795
Cs2K1As1F6,0.0233
Na2Lu1Cu1Cl6,0.211
Na2Ag1Au1F6,1.2976
Cs2Li1Ce1Cl6,0.0688
Rb1Sn0.125Pb0.875Br3,2.6528
K1Ge1Cl3,4.143
Rb2Ce1Au1Cl6,0.9566
Rb2Eu1Cu1Cl6,0.4019
K2Li1Sc1F6,0.0074
Cs2Rb1Ce1Cl6,0.0585
K1Rb2Cr1F6,0.0118
Rb2Na1As1Cl6,0.1612
Rb2Y1Hg1Br6,0.6932
Rb2Na1Ta1Br6,0.2897
K2Ta1Cu1Br6,1.6899
Rb2V1Au1F6,0.6618
Na2Ga1Ag1Cl6,1.0862
Rb2Li1Al1F6,0.0044
Rb2Y1Cu1F6,0.1983
Na2Cu1Mo1F6,2.3697
K2As1Au1Cl6,6.9831
Na2Tb1Cu1Cl6,0.2966
K2Rb1Al1Br6,0.0333
Na2Tl1Hg1F6,1.4797
Cs2K1Fe1F6,0.057
Cs1Rb2V1F6,0.0325
K2Na1Nd1Br6,0.0464
K2Na1Ta1Cl6,0.2153
Cs2Al1Tl1Br6,0.3356
Rb1Ca1F3,0.0056
Cs2Li1Ce1Br6,0.1171
Li1Tl2In1Cl6,0.0614
K2Rb1Sb1F6,0.0598
Cs2K1Tm1Cl6,0.0182
Cs2K1Pr1I6,0.1244
Rb2Er1Au1Cl6,0.7026
K2Na1Rh1F6,0.0493
Cs2Rb1Ga1Cl6,0.0244
Rb1Eu1Cl3,0.0177
Rb2Li1Nd1F6,0.0068
Cs1K2As1Cl6,0.1285
Rb2V1Hg1F6,0.1188
Cs2Rb1Sc1I6,1.1984
Na2Li1Al1F6,0.0037
Na2Li1In1F6,0.009
Na2Ru1Au1F6,2.2844
Cs2Nb1Tl1F6,0.2785
K2Na1Sb1Br6,0.9032
Rb2Fe1Cu1F6,1.5304
K2Rb1As1Cl6,0.1099
Na2Ag1As1Br6,6.2703
Cs1Rb2Au1F6,0.2707
Cs1Ba0.25Sr0.125Ca0.125Ge0.375Pb0.125Br3,0.1394
Rb2Li1Ru1F6,0.0771
Cs1Ba0.625Pb0.375I3,0.1409
K2In1Au1F6,0.5464
Cs2Y1Hg1F6,0.0728
K2Li1Sc1Cl6,0.0472
K2Rb1Co1F6,0.0264
Cs2Y1Tl1Cl6,0.0351
Cs1Eu1Cl3,0.018
K2Tl1Ag1F6,2.5776
K2Rb1Au1F6,0.1238
Na2Li1Tb1Cl6,0.0266
Mn1Tl1Cl3,0.1014
K2Al1Cu1F6,0.1242
Cs2Na1Er1Cl6,0.0203
Rb2Na1Pr1F6,0.0067
K1Ba0.375Sr0.125Sn0.125Ge0.125Pb0.25Br3,0.1215
Cs2Tl1Mo1F6,0.2387
Rb2Li1Gd1Cl6,0.0235
Cs2Rb1As1Cl6,0.1071
Rb2Tm1Au1Cl6,0.7032
Cs2Al1Tl1Cl6,0.0425
Rb2Ag1Bi1Cl6,1.6215
K2Li1Y1F6,0.006
K2Al1Au1F6,0.1707
Cs1Rb2Tl1F6,0.0209
K2Rb1As1F6,0.0298
Cs2Na1Bi1Cl6,0.0559
K2Ag1Mo1I6,4.009
K1Sn0.875Pb0.125Br3,4.3803
Rb2Na1Tl1Cl6,0.6515
Rb2Na1Bi1Br6,0.1766
K2Ag1Rh1F6,3.3278
K2Rb1Ti1F6,0.0298
Rb2Mn1Au1F6,1.7246
Cs2In1Au1F6,0.3238
K2Na1Ta1Br6,0.2986
Rb2Na1Er1F6,0.0057
Cs2Rb1Ga1F6,0.007
Rb2Na1In1I6,0.8254
Cs2Rb1Sb1Cl6,0.1373
K2Er1Au1Cl6,0.7059
Rb2Na1Ce1Br6,0.0946
Rb2Gd1Ag1Cl6,0.0365
Cs2K1Tb1Cl6,0.0195
K2Li1Mo1F6,0.0249
Rb2Sc1Hg1I6,2.522
Cs2K1As1Cl6,0.106
Cs2K1Au1Br6,1.2601
K2Li1V1F6,0.0301
K2Ag1Mo1F6,0.0616
Rb2Sm1Cu1Cl6,0.3214
Rb2Al1Tl1I6,1.7576
Cs2Rb1Ru1F6,0.0236
Rb2Li1Ni1F6,0.6716
Cs2Na1Y1Br6,0.0387
Cs2Li1Pr1Br6,0.0501
Cs2Pr1Ag1F6,0.0163
K1Na2Cr1F6,0.0347
Cs2Rb1Sc1F6,0.0072
Rb2Y1Hg1F6,0.0763
