system,area
Rb2Ag1Mo1F6,0.0498
Rb2Nb1Cu1F6,0.9752
Rb2Co1Hg1F6,0.5705
Cs2Cu1Bi1I6,6.9593
Rb2Ag1Bi1F6,0.4099
Rb2Hg1Sb1F6,0.1026
K2As1Au1F6,2.2716
Rb2Na1Cu1F6,0.923
Cs2Ag1Bi1Cl6,1.602
Cs2Tl1Sb1Cl6,2.6074
Cs2Ag1Au1Cl6,1.5301
Cs2Nb1Cu1F6,0.8698
Rb2Nd1Cu1F6,0.5881
Cs2Ag1Mo1F6,0.0531
Rb2Na1V1F6,0.0199
Rb2In1Hg1Cl6,0.7686
Na2Tl1Cu1Br6,1.7791
Rb2Sc1Au1I6,3.2872
Cs2Tl1Sb1F6,0.783
K2Na1Sc1I6,1.8219
Cs2Tl1Cu1Br6,1.6212
Rb2Hg1Sb1Cl6,2.3798
Cs2Rb1Ga1I6,0.6627
Cs2Sc1Ag1Cl6,0.111
Cs2Sc1Cu1Cl6,1.2027
Cs2Ga1Ag1Br6,1.858
K2Ir1Au1F6,2.5719
Rb2Cu1Mo1Br6,2.9872
Cs2Ga1Hg1I6,2.9329
Rb2Sc1Cu1Cl6,1.3313
Cs2Hg1Sb1Cl6,2.2319
Cs2Sc1Hg1F6,0.0911
K2Al1Au1Br6,1.3166
Cs2Na1Au1Cl6,1.1979
Rb1Fe1F3,0.0225
K2Tl1Sb1Cl6,2.7271
K2V1Ag1F6,0.1478
Rb2Hg1Pd1F6,2.2182
Cs2Tl1Au1F6,2.1313
Mg1Tl1F3,0.0406
Cs2Li1Mo1I6,2.2949
Rb2Bi1Au1I6,7.3857
Cs2Cu1Bi1Cl6,4.7793
K2Tl1Hg1I6,3.2727
K2Cu1Bi1I6,7.2008
K2Ag1Bi1Cl6,1.5898
K1Rb2As1I6,2.0514
Rb2Sc1Tl1I6,1.6454
Cs2Ag1Sb1I6,7.0973
K2Tl1Ni1F6,3.1836
K2Sb1Au1F6,2.5107
Rb1Sn1I3,6.0363
Rb2As1Au1I6,7.565
K2Sb1Au1Cl6,5.6739
K2Tm1Cu1Cl6,0.2583
K1Rb2Au1Cl6,0.8844
Rb1Ge1Cl3,4.0574
Cs2Ag1As1Cl6,3.2867
Cs2Eu1Ag1Cl6,0.6536
Cs2Tl1Ga1F6,0.0206
Cs2Y1Hg1I6,0.9047
K2Rb1Sb1I6,1.8788
Rb2Sc1Tl1Br6,0.1808
K2Sb1Au1Br6,6.7179
K2In1Au1Br6,2.8359
Cs1Ge1I3,7.6501
K2Ga1Au1Cl6,1.9759
Rb2Ag1Sb1Cl6,2.7619
K2Nd1Cu1F6,0.7035
Rb2Ce1Cu1F6,0.7515
K2Hg1Sb1F6,0.1087
K2Ag1As1F6,0.8302
Cs1Pb1Br3,1.956
Cs2Hg1Au1Br6,3.3439
K2Tl1Ga1F6,0.0275
Cs2Al1Au1Br6,1.3025
Cs2Tl1As1F6,0.5266
K2Ga1Ag1I6,2.1525
Cs2Y1Ag1Br6,0.0751
K1Rb2In1Br6,0.1649
Cs2In1Cu1F6,1.0937
Cs2Li1Mo1Br6,0.5082
Cs2Y1Ag1Cl6,0.0356
Rb2Ga1Ag1F6,0.0615
Rb2Y1Cu1Cl6,0.2823
Rb2Ga1Ag1Cl6,1.2088
Rb2Ag1Sb1F6,1.1814
K2Cu1Mo1I6,4.7844
K2Ta1Ag1I6,2.3559
K2Na1Au1F6,0.3638
