system,band_gap
Rb2CuMoI6,0.1308
Na2GaAgI6,0
Cs2CoAgF6,1.8768
Rb2YHgI6,0
Rb2NaTlBr6,1.0102
CsK2ScCl6,4.0703
KRb2InF6,5.3194
Cs2KTiCl6,0.043
Cs2NaIrF6,2.2607
Rb2HgSbBr6,0
Rb2NaErCl6,5.1645
Na2LiInCl6,2.9328
Cs2HgAuF6,0
K2LiMnF6,0
Cs2TlBiBr6,1.7359
Na2AgRhF6,1.4496
Rb2FeAuF6,1.1878
Rb2LiBiI6,1.9334
Rb2NaAlCl6,4.2244
Rb2VAuF6,0
K2YHgI6,0
K2NaLaCl6,4.6105
Na2CuAuCl6,0
Cs2CrHgF6,0
Rb2LiYI6,2.9884
Rb2YAgF6,2.8977
Cs2CuBiCl6,1.1184
K2NaTaF6,0
Cs2ScHgBr6,0
K2AlTlI6,1.5653
Cs2TlBiCl6,2.2573
Rb2NaCrF6,4.1608
K2YAgBr6,3.2941
Rb2TlCrF6,4.1503
KSnBr1.125Cl1.875,0.668
KRb2CuF6,0.8802
K2NaSmCl6,4.8597
CsRb2InBr6,2.6764
Rb2NaAsBr6,2.5701
Cs2NaRuCl6,0
Rb2TlCuF6,0
Na2AsAuF6,0.6327
K2GaHgCl6,0
Cs2TlPdF6,0
Rb2AlAuI6,0
Cs2NbCuF6,0
K2LiYCl6,4.9248
K2RbInCl6,3.7137
K2MoAuF6,1.4368
K2NaCoF6,2.9932
Rb2BiAuI6,0
Rb2PrAgI6,2.5438
Na2LiPrCl6,3.9815
Rb2IrAuF6,0.4938
Na2YHgF6,0
K2ScHgI6,0
Cs2DyAuCl6,2.1667
CsPbF3,2.9083
Rb2HgAsF6,0
Cs2LiGdCl6,2.782
Rb2TlPdF6,0
CsRb2AlI6,2.1328
Cs2RbAuCl6,0.1911
K2LiBiCl6,3.6182
K2RbTaBr6,0
RbSn0.125Pb0.875Br3,1.527
KRb2IrF6,2.5351
Rb2ScAgI6,2.1449
K2HgAsBr6,0
KRb2PdF6,0
Cs2NaGdCl6,3.0186
K2InAgF6,1.6678
RbPbI1.5Br1.5,1.526
RbFeF3,0
CsRb2GaI6,1.1875
Rb2HgAuBr6,0
Rb2HgBiI6,0
Cs2KInCl6,3.72
CsK2TaF6,0
Cs2KFeF6,4.0956
KSrBr2.25Cl0.75,3.783
RbVF3,2.4491
K2TaAuF6,1.169
Rb2CuBiCl6,1.0756
Cs2KLaF6,6.2199
Na2AgMoF6,1.7775
RbSnI3,0.407
Rb2AgMoCl6,1.0147
Cs2KAlI6,1.7447
K2NaTlI6,0.0749
K2LiBiF6,4.8822
K2AgRhF6,1.4182
RbGeBr3,0.676
Cs2CuKCl6,0.831
Rb2HgMoF6,0
Na2AgIrF6,1.1009
CsSr0.125Ba0.875Br3,3.976
Cs2LiTlBr6,0.5505
Rb2LiAlF6,7.248
K2RbTaI6,0
RbNa2AsF6,2.6812
Cs2CuMoI6,0.0872
Cs2AgAsF6,2.4428
Cs2RbCeCl6,4.1198
Rb2LiTaF6,0
Na2GaAgF6,1.5786
K2TlVF6,0
Cs2NdAgF6,3.3086
Cs2RbAuF6,0.7939
K2SmCuCl6,2.3789
Rb2NaYF6,6.4476
K2HgRhF6,0
Rb2NaPrBr6,4.0373
KCuF3,0
K2AlAuI6,0
K2YHgBr6,0
Cs2KNdCl6,5.1287
Na2LiLaCl6,3.9591
K2TlAgBr6,0
RbCuF3,0
Cs2TlBiF6,3.0939
Na2VHgF6,0.0016
Rb2AgRuF6,0
CsK2ScF6,5.6381
Cs2InCuBr6,0
BaNa4Cu3F12,0.1596
Cs2NaBiBr6,3.1775
K2LiNdCl6,4.8605
Rb2TmAuCl6,2.1063
Cs2RbScI6,2.3929
K2LiAlF6,7.4418
Cs2ScAgI6,2.0571
Rb2NbAuF6,0.1361
K0.75Rb0.125Cs0.125SrBr3,3.771
Cs2LiAuCl6,0
Rb2NaTaF6,0
Cs2LiMoBr6,1.2684
K2LiSbBr6,2.3188
Cs2CdGeCl6,2.116
Na2NiHgF6,1.7089
Cs2DyCuCl6,2.2443
RbGeI0.375Br2.625,0.608
K0.125Rb0.875SrBr3,3.856
Rb2InCuF6,0
K2LiTlF6,3.5058
CsBaI2.25Cl0.75,3.719
Rb2ScAuF6,1.6982
Cs2TlHgI6,0
K2NaMoI6,1.0859
K2NaMoF6,3.9023
Cs2AuVCl6,0.194
CsCaBr0.75Cl2.25,4.927
Na2HgAuF6,0
KRb2TlCl6,2.416
Cs2HgSbI6,0
Cs2NaTbF6,6.8618
K2CuSbI6,0.6999
Na2TaAuF6,1.189
KRb2GaBr6,2.1466
K2TlAgCl6,0
KNa2NbF6,0
Rb2TaCuBr6,0
Cs2KNiCl6,0.195
K2InHgF6,0
Na2CuAuF6,0
Na2LiDyCl6,3.9746
Cs2KSbBr6,2.8501
K2TiTlF6,0
Na2MnAuF6,0
CsK2AlBr6,3.2978
Cs2InHgF6,0
CsRb2YCl6,4.4227
Cs2LiNdF6,7.055
Cs2TlCrF6,4.1533
Rb2TlSbBr6,1.1629
K2RbMoBr6,1.6014
Cs2NaSbCl6,3.152
Cs2YHgF6,0
Cs2TbAuCl6,2.181
K2AgPdF6,0
RbSnCl3,0.919
Cs2LiNbF6,0
K2InHgBr6,0
K2NbAuF6,0.1363
Rb2TiAgF6,0
K2TmCuCl6,2.4668
CsRb2ScF6,5.8718
Rb2AgSbI6,0.4095
Na2CoAgF6,1.4033
Rb2TlAuCl6,0
Cs2KVCl6,0.134
K2AlCuF6,1.1155
Cs2NaCeF6,6.3611
Rb2AgSbF6,2.168
Rb2LaCuCl6,2.1713
CsK2InF6,4.7905
K0.125Rb0.375Cs0.5SnCl3,0.958
Rb2NaScI6,2.2079
CsRb2AlBr6,3.3521
K2RbAuF6,0.7578
Na2ErCuCl6,1.699
Cs2KMnF6,0
Na2HgRhF6,0
Cs2KSbF6,4.1778
Rb2NaLuCl6,5.1975
Rb2YHgCl6,0
K2LiLuCl6,5.0952
Cs2KScCl6,4.024
K2LiIrF6,2.0832
Na2LiScF6,6.0598
Cs2NaTaI6,0
K0.375Rb0.625SrBr3,3.801
Na2TaHgF6,0
Cs2MnRbCl6,0.498
Rb2NbHgF6,0
Rb2NbCuF6,0
Cs2TbCuCl6,2.5342
K2RbVF6,0
K0.25Rb0.75SrBr3,3.821
Rb2LiMoF6,4.623
Cs2LiSmCl6,4.9508
KRb2InBr6,2.3963
Na2MnAgF6,0
KRb2LaCl6,4.7565
KRb2ErCl6,4.8731
Rb2AsAuI6,0
CsCa0.375Sr0.375Ba0.25Cl3,4.951
Cs2LiAuF6,0.5298
Rb2YHgBr6,0
Cs2HgTiCl6,1.263
Rb2LiTbCl6,5.0624
CsSrI3,3.612
Rb2HgIrF6,0
Rb2LiPdF6,0
K2CrAuF6,1.5844
K2AgAuF6,0
K2YAuCl6,2.2731
Cs2AlHgBr6,0
K2LiPrCl6,4.8264
Na2TlAgF6,0.1307
Cs2MnTlCl6,0.1
K2TlCrF6,4.0416
Na2TiHgF6,1.8645
RbFeCl3,0
CsRb2AsF6,3.8491
CsSrBr2.625Cl0.375,4.193
Cs2TlAuBr6,0
CsK2PdF6,0
Cs2LaAgCl6,3.6099
K2LiPrBr6,3.9531
Cs2RbNbF6,0
Cs2LaCuCl6,2.1808
Cs2AlAuI6,0
Na2AgAuF6,0
Cs2RbTaF6,0
Cs2RbNdCl6,4.8574
K2LiTaBr6,0
K2LiPrI6,2.9382
Rb2LiYBr6,4.042
K2RbTlF6,3.7342
K2DyAgCl6,3.6341
K2NiHgF6,1.9584
Rb2NaBiBr6,3.136
K2NaPrBr6,3.9823
RbNa2AlF6,4.8591
CsSr0.25Ba0.75I3,3.476
K0.75Cs0.25SnI3,0.411
K2RbPdF6,0
K2LiVF6,0
K2RbLuCl6,4.5442
K2TbCuCl6,2.4713
K2MnAuF6,0
Cs2LiNbCl6,0
Cs2RbPrCl6,4.8296
Rb2TbCuCl6,2.5313
Rb2TiTlF6,0
KCa0.125Ge0.875I3,0.836
K2RbMoF6,3.0563
Na2LiMnF6,0
Na2AlAgCl6,2.461
CsFeF3,0
Cs2CuBiI6,0.3531
K2NaAlCl6,4.3079
K2GaAuI6,0
Rb2NaScBr6,3.1115
Cs2AgMoBr6,0.5337
Cs2LiBiBr6,2.9154
Cs2KSbI6,2.441
Na2CrAuF6,1.1718
K2TlRuF6,0
Rb2MoAuF6,1.5341
K2RbNdF6,5.2708
K2TaAgF6,0.3159
Cs2KYCl6,5.336
K2HgMoF6,0
KRb2MnF6,0
Cs2KSbCl6,3.543
Rb2LiNdBr6,4.001
Cs2KBiF6,4.9469
CsRb2MoF6,3.0636
Cs2LiTaI6,0
Rb0.125Cs0.875GeI3,0.625
Cs2LiYBr6,4.0508
Cs2GaHgI6,0
Cs2HgAsBr6,0
Cs2NaFeF6,4.0522
Rb2LuCuCl6,2.4367
Cs2YHgBr6,0
Cs2InHgI6,0
K2NaYF6,6.2393
Na2TlCuBr6,0
Cs2KBiCl6,4.177
Cs2TlBiI6,1.3773
K2RbSbI6,2.3768
Cs2KTaI6,0
Na2AlCuF6,0.2373
Na2CuPdF6,0
Rb2LiLuCl6,5.2953
K2HgIrF6,0
Rb2HgPdF6,0
Rb2NaPdF6,0
RbSrBr0.375Cl2.625,4.352
Cs2KCeCl6,4.0361
K2LiSmCl6,4.9171
K2LiNdI6,2.9488
K2NaAuBr6,0
Rb2NaBiF6,4.9249
Rb2InAgF6,1.8913
KGeCl3,0.903
Cs2NaYF6,6.8639
Cs2KRhF6,2.1013
K0.75Rb0.25GeCl3,0.892
K2PrAgI6,2.5488
Rb2ScAgBr6,2.8738
Cs2SmAuCl6,2.23
Rb2ScTlI6,2.3969
K2CeCuCl6,1.5332
KHgF3,0.6082
Cs2GaAuF6,0.9632
CsPbCl3,2.211
Cs2NaSbI6,1.8895
Cs2AuHgCl6,0
KPdF3,0
Rb2LiGaF6,5.9815
Cs2KTmCl6,5.2319
Rb2LiCeI6,2.1287
KSr0.125Ba0.125Ge0.25Sn0.25Pb0.25Cl3,1.958
K2HgAuBr6,0
Cs2KScI6,2.3591
RbPdCl3,0
Cs2PrAgI6,2.5343
K2NbHgF6,0
K2TiAgF6,0
CsRb2TaF6,0
Cs2LaAuCl6,2.275
Rb2NaNiF6,0
Cs2RbCuF6,0.8744
Cs2SmAgCl6,3.8478
Na2AgSbCl6,1.5821
KNa2GaF6,4.9498
CsK2NbF6,0
NaVF3,0.6978
KNa2AlF6,5.1973
KGeI3,0.537
Cs2MoRbCl6,1.655
K2NaAlF6,6.858
Rb0.75Cs0.25SnI3,0.445
K2InAgI6,0
CsRb2PdF6,0
Rb2LiRhF6,1.7225
Rb2LiTaBr6,0
Cs2InHgBr6,0
K2NaPrI6,3.1022
Rb2TiAuF6,0.029
Cs2RbInI6,1.3972
KSr0.375Ge0.25Sn0.25Pb0.125I3,1.445
Cs2NaScCl6,3.83
K2AlTlBr6,2.8488
Cs2KTaF6,0
Rb2AsAuF6,0.8073
K2TlSbCl6,1.9155
Rb2VHgF6,0.0036
K2VAuF6,0
CsSnCl3,1.028
K2TlCuBr6,0
Rb2NaAuF6,0.591
Rb2LiTlBr6,0.5529
K0.125Rb0.875SnBr3,0.571
Rb2GaHgBr6,0
Cs2NaMoI6,1.0847
K2AgAuBr6,0
Cs2TlVCl6,0.162
Cs2KMoI6,1.4527
K2AgIrF6,1.5152
K0.25Rb0.375Cs0.375SnCl3,0.94
Cs2KVF6,0
Rb2SmAgCl6,3.7291
Cs2NaNdBr6,4.1254
Rb2NaRuF6,0
Rb2AlCuF6,1.2713
K2HgAsI6,0
K2NaDyCl6,4.9377
K2RbTaF6,0
Na2RuAuF6,0
Rb2LiMnF6,0
Rb2NbTlF6,0
Cs2LuAgCl6,3.7052
CsCaI0.75Br2.25,4.025
K2YHgF6,0
RbAgCl3,0
K2GaHgBr6,0
Cs2NaLuCl6,5.494
Cs2TaAgBr6,0
K2NaAuF6,0.5742
Cs2KRuCl6,0
CsK2VF6,0
Na2YAgF6,1.659
K2RbMnF6,0
Rb2NaIrF6,2.3345
Cs2CoRbCl6,1.22
Rb2LiRuF6,0
Rb2ScHgCl6,0
Cs2KMnCl6,0.396
Cs2LiNdCl6,4.8227
Cs2RbGdCl6,3.2357
Cs2RbIrF6,2.5113
Cs2KInF6,5.4629
CsRb2TlF6,3.6496
Cs2CuMoCl6,0.8536
Cs2LiMoI6,0.9856
Cs2RbTbCl6,4.9233
Cs2GdAuCl6,1.5419
Cs2FeZnCl6,0.312
Cs2KTaBr6,0
Rb2NaRhF6,1.957
Rb2YAgI6,2.4885
Cs2TmCuCl6,2.4365
K2HgBiCl6,0
K2NaYCl6,4.9526
Na2LiErCl6,3.9979
Rb2TaAgBr6,0
Rb2LiPrF6,6.547
Na2InHgF6,0
Cs2FeMnCl6,0.354
Cs2GaCuCl6,0
Rb2HgRhF6,0
K2AgBiCl6,2.0583
Rb2CrAuF6,1.6646
Cs2CrHgCl6,0
K2RbAsCl6,3.4807
Rb2TaHgF6,0
Cs2KNdBr6,4.2395
Cs2HgMoF6,0
Rb2NaScCl6,3.9108
KFeF3,0
K2NaTaBr6,0
Na2LiNF6,2.4767
K2LiTaCl6,0
K2TlCuCl6,0
Rb2YTlI6,3.0376
CsRb2AuBr6,0
K2NaNdF6,5.9905
Cs2PtVCl6,0.424
Cs2HgAuBr6,0
Rb2AgMoI6,0.694
KNa2RuF6,0
Rb2GaHgCl6,0
K2RbAuBr6,0
KCoF3,0
Rb2LiNiF6,0
Cs2TlAsI6,1.0046
Cs2HgSnCl6,0.849
K2YTlF6,4.3847
Rb2TlMoF6,3.8485
Rb2InAuF6,0.5174
Rb2InCuCl6,0
K2InCuBr6,0
Rb2MnAuF6,0
CsCa0.125Ba0.75Sn0.125I3,2.903
K2InAuI6,0
KRb2TlI6,0.4749
Rb2SmCuCl6,2.5695
Cs2KRuF6,0
Cs2TaCuBr6,0
Rb2HgRuF6,0
Rb2InHgBr6,0
CsRb2VF6,0
Cs2LiTaBr6,0
K2NaPdF6,0
Cs2CaHgCl6,2.706
Na2AgSbF6,1.6668
K2HgBiF6,0
Cs2HgPdF6,0
Cs2CoMnCl6,0.554
K0.625Rb0.25Cs0.125GeCl3,0.919
KNa2MnF6,0
CsCaF3,6.9005
RbMgF3,6.9384
K2AgSbF6,2.0454
Rb2InHgCl6,0
CsCa0.125Ba0.125Ge0.25Sn0.5Br3,1.502
Cs2NaTaCl6,0
K2RbGaBr6,2.3254
K2HgBiI6,0
Na2ScHgF6,0
K2RbAuCl6,0.1648
Cs2TlAgBr6,0
K2TbAgCl6,3.6214
RbCuBr3,0
Cs2NaAlF6,6.7033
K2LiMoI6,0.974
K2NaMoBr6,1.4723
Cs2RbTlF6,3.7422
KSnBr3,0.528
Cs2HgAsCl6,0.152
Cs2AuFeCl6,0.911
K2CeAgBr6,2.5986
KPbBr3,1.742
Rb2ScAuI6,1.1719
Cs2NaInCl6,3.088
K2NaCuF6,0.7248
Cs2AuCrCl6,1.305
Rb2NaInI6,0.6818
Cs2TlVF6,0
Rb2LiBiF6,4.9741
Rb2NaCrCl6,1.3631
CsRb2YF6,5.4863
CsRb2ScCl6,4.083
Rb2VCuF6,0
Cs2RbVCl6,0.217
RbGe0.875Pb0.125Cl3,1.092
Rb2TlVF6,0
K2LiSbCl6,2.9339
K2CuAuCl6,0
Cs2TaCuI6,0
Rb2NaTaBr6,0
Cs2RbTmCl6,5.0734
Cs2KRhCl6,1.644
Rb2NaFeF6,4.1186
CsRb2ScBr6,3.3122
K2TaAgBr6,0
Cs2ScHgI6,0
Cs2CaGeCl6,3.943
Cs2NaRhCl6,1.256
Na2GaAuF6,0.306
Cs2ErAuCl6,2.0871
KRb2VF6,0
RbSr0.125Sn0.25Pb0.625I3,1.279
KRb2NbF6,0
K2LuAuCl6,2.0732
Cs2TaHgF6,0
K2HgBiBr6,0
Cs2AuTaCl6,0.539
Rb2TbAgCl6,3.7266
CsK2MoF6,2.8022
KSr0.125Ba0.125Ge0.125Sn0.125Pb0.5Br3,1.576
Na2LiNiF6,0
K2GaAuCl6,0
CsSr0.25Ba0.125Ge0.125Sn0.375Pb0.125I3,1.672
KNa2RhF6,2.23
Rb2AlAgF6,3.2492
K2NaMoCl6,1.5542
Rb2NaCuF6,0.7354
K2MnAgF6,0
CsBa0.375Pb0.625I3,2.282
KRb2TiF6,0
Cs2HgAsI6,0
Cs2HgRuCl6,0
CsPbI0.375Br2.625,1.688
Rb2InHgI6,0
Rb2AgBiI6,0.8273
Rb2NaTaCl6,0
K2TlMoF6,3.7506
Cs2HgBiBr6,0
Cs2MgVCl6,0.859
Cs2InAuBr6,0
K2InHgI6,0
RbSr0.5Ge0.125Sn0.25Pb0.125I3,2.737
RbPbI0.75Br2.25,1.588
Cs2NbAgF6,0
Cs2LiPrBr6,3.9721
Cs2NaYI6,3.1517
Cs2LiSbBr6,2.3396
Cs2NiTlCl6,0
Rb2TlNiF6,0
Cs2KPrI6,3.2328
Rb2AlAgCl6,2.4448
Cs2NaRhF6,1.9082
RbCa0.25Sr0.125Ge0.125Sn0.25Pb0.25Cl3,2.436
Rb2AlTlCl6,3.8791
K2AgMoI6,0.6874
CsRb2CoF6,3.2035
Rb2CeCuBr6,1.5744
Rb2CuPdF6,0
CsPdBr3,0
Cs2IrTlCl6,1.723
CsMgF3,6.7028
K2LiTaI6,0
Cs2NaLaCl6,4.6183
Cs2RbBiF6,4.7749
CsSn0.5Pb0.5I3,0.963
KCaBr3,3.908
Rb2LaAgCl6,3.573
KCa0.875Ba0.125I3,3.201
Cs2LiTbCl6,5.0434
KRb2InCl6,3.5425
Rb2NaAlF6,6.791
Cs2YHgI6,0
Rb2AgRhF6,1.3905
KCa0.5Ba0.125Ge0.375Cl3,3.805
Cs2PdRbCl6,0.397
Na2LiBiF6,4.3529
CsYbBr3,4.3382
Rb2NaBiI6,2.1072
Na2AlAuF6,0.9051
KAgF3,0
K2ScHgBr6,0
Rb2LiPrBr6,3.9853
Cs2NaAuBr6,0
Cs2AuNiCl6,0.121
Rb2YHgF6,0
Cs2NaSbF6,4.2317
CsRb2NbF6,0
Cs2RbTlCl6,2.424
Cs2RbFeF6,4.1178
Cs2CrPtCl6,0.526
Na2LiNdCl6,4.0094
Cs2CeAgCl6,2.9041
Na2LiSmCl6,4.0551
KRb2TlF6,3.8557
CsK2AuF6,0.6962
Cs2BiPdCl6,0
K0.75Rb0.125Cs0.125PbCl3,2.182
Na2HgMoF6,0
Rb2NaYCl6,5.1042
Rb2LiDyCl6,5.1062
Cs2SnSrCl6,3.822
Rb2InAuI6,0
K2InAuBr6,0
CsK2RuF6,1.66
KBa0.25Ge0.625Sn0.125Cl3,1.711
Cs2KInI6,1.2626
KNa2TiF6,0
Na2AgRuF6,0
K0.5Rb0.25Cs0.25SrBr3,3.835
CsCa0.25Ba0.125Ge0.25Pb0.375Cl3,2.387
Cs2MoTlCl6,1.629
Cs2NaNiF6,0
Rb2LiMoCl6,1.538
KSr0.25Ge0.625Pb0.125I3,1.283
KRb2TmCl6,4.8715
RbCaCl1.125I1.875,3.772
Cs2CeCuCl6,1.6741
Rb2AgIrF6,1.4737
Na2TaAgF6,0.2407
Rb2BiAuBr6,0.4108
NaTiF3,0
Cs2InAuI6,0
Rb0.625Cs0.375CaCl3,5.057
Cs2TlMoF6,3.8865
K2NaRuF6,0
Rb2LuAuCl6,2.0926
Rb2NaVCl6,0
CsBa0.875Sn0.125Cl3,3.584
Cs2AgPdCl6,0
K2RbGaI6,0.9854
K2RbPrF6,5.2136
Na2AgPdF6,0
Cs2PdYCl6,0.532
Cs2PtSnCl6,0.056
CsBeF3,5.3671
K2YAgI6,2.5089
K0.25Rb0.375Cs0.375CaCl3,4.995
Cs2CeAgBr6,2.6247
CsSnI2.25Br0.75,0.463
K2GaHgI6,0
Cs2NaSbBr6,2.556
Na2CuBiBr6,0.8534
K0.5Cs0.5PbI3,1.466
Cs2CoGeCl6,0.707
CsBaI1.125Cl1.875,3.603
Rb2LiNdI6,2.9632
Cs2AgIrF6,1.3698
CsSnI2.625Br0.375,0.468
Rb2GaAuCl6,0
RbCa0.125Sr0.25Ba0.25Sn0.25Pb0.125I3,2.602
Cs2HgNiCl6,0.688
K2ScTlCl6,3.3972
Na2CuAsF6,0.7308
RbGe0.875Sn0.125I3,0.428
RbAgF3,0
K2NdAuCl6,2.2347
Cs2GeVCl6,0.806
Rb2LiTiF6,0
CsGe0.125Sn0.875Cl3,0.94
RbCa0.375Ba0.25Ge0.375Cl3,3.53
Cs2AuRuCl6,0
Cs2NaLaBr6,3.8471
K2HgAuF6,0
K2RbMoI6,1.4308
CuAgF3,0
Cs2CaTiCl6,0.224
Na2AlHgBr6,0
KNa2TaF6,0
KCuCl3,0
K2HgSbBr6,0
K2GaAuBr6,0
K2RbRhF6,2.2056
Rb2LiVF6,0
Cs2KErCl6,5.2229
Na2AlAgBr6,1.4745
Rb2NaTaI6,0
KNa2FeF6,4.1152
Cs2LiPdF6,0
Cs2RbRhCl6,1.728
RbPbI2.625Br0.375,1.449
K2FeAgF6,2.1064
K2LiNdBr6,3.973
Cs2MnSnCl6,1.349
Na2VAgF6,0
K2AgSbI6,0.381
Cs2RbRuF6,0
Cs2ErCuCl6,2.17
Cs2CaSrCl6,5.446
Cs2NaScBr6,3.1061
KRb2GaI6,0.8479
Cs2GaHgF6,0
Rb2LiBiCl6,3.6154
Cs2NaSmCl6,5.1745
CsK2TiF6,0
Rb2GdAgCl6,2.128
Rb2TlGaCl6,2.5867
CsRb2InCl6,3.5527
K0.125Rb0.25Cs0.625PbCl3,2.2
K2ScHgCl6,0
Cs2LiNdBr6,3.9972
K2NaRhF6,2.0001
Cs2NaYBr6,4.2176
K2CeAgCl6,2.8498
K2NbTlF6,0
K2PrAuCl6,2.2392
CsBa0.875Pb0.125I3,3.359
RbCa0.125Ba0.625Ge0.125Sn0.125Cl3,3.14
Cs2NdAgBr6,3.3798
Rb2CuSbBr6,0.4021
Cs2CdFeCl6,0
Cs2LiNdI6,2.9743
Cs2AgAuF6,0
Na2TlAsF6,2.0624
CsRb2AlF6,5.8323
Cs2CdCuCl6,0.215
Cs2NiRbCl6,0.242
CsPbBr2.625Cl0.375,1.78
RbCa0.5Sr0.25Ge0.125Sn0.125Cl3,3.738
Cs2NaCrCl6,1.538
CsK2AlCl6,4.3064
Cs2CdNiCl6,0.489
Cs2GaAuI6,0
Rb2LiMoI6,0.9752
KSn0.875Pb0.125Br3,0.672
KRb2RhF6,2.1662
Na2TmCuCl6,1.7455
CsSrF3,6.1846
Rb2LiVCl6,0
RbCa0.875Sn0.125Br3,3.42
Cs2LiBiI6,1.9323
RbCaCl1.5I1.5,3.814
CsCa0.125Sr0.125Ba0.25Ge0.375Pb0.125Br3,3.054
Cs2TlAgI6,0
Cs2RbLaCl6,4.4819
KCa0.875Ge0.125I3,3.063
Rb2AgAuBr6,0
Rb2LuAgCl6,3.681
Rb2LiPrI6,2.9512
Cs2LiSbI6,1.7376
K2NaAsBr6,2.5764
CsPbI0.75Br2.25,1.619
K2CuAsF6,0.978
Cs2SnVCl6,0.917
K2LiErCl6,5.0496
Cs2IrNaCl6,1.466
Cs2NaScI6,2.2294
K2TlSbF6,2.6523
Cs2CrSrCl6,0.384
K2TlHgF6,0
Rb2LiPrCl6,4.8241
Cs2LiNF6,2.467
K2RbCoF6,3.2015
Cs2BaSnCl6,3.753
K2TaCuCl6,0
Cs2GaAgCl6,0.991
Cs2HgSrCl6,2.867
Cs2HgVCl6,0.078
Cs2AgVCl6,0.23
Rb2CuAuCl6,0
K0.125Rb0.5Cs0.375CaCl3,5.021
K2NbAgF6,0
CsCa0.875Pb0.125Br3,4.253
K2TaAgI6,0
CsCa0.25Sr0.25Sn0.25Pb0.25I3,2.731
K2NaInF6,5.2445
Rb2LiMoBr6,1.2695
RbSrI2.625Br0.375,3.268
Rb2NaPrI6,3.112
Rb2NaNdCl6,5.003
K2NaNbF6,0
Rb2LiLaCl6,4.5047
Rb2InAuCl6,0
Cs2BaMgCl6,5.16
Na2NbAgF6,0
Na2LiGaF6,5.7453
Rb2TlAuI6,0
Cs2BaHgCl6,2.978
K0.625Rb0.125Cs0.25GeCl3,0.938
CsRb2LuCl6,4.4735
Cs2BaCrCl6,0.507
Cs2BaBeCl6,4.77
Rb2NaVF6,0
Cs2BeSrCl6,4.942
K0.25Rb0.375Cs0.375PbI3,1.462
Cs2AgAuBr6,0
Cs2CaMgCl6,5.396
KGeI0.375Br2.625,0.54
Cs2TbAgCl6,3.8151
K2LaAuCl6,2.324
Rb2NaMoI6,1.0856
Cs2IrKCl6,1.904
Na2LiScCl6,3.7427
Cs2GaHgBr6,0
Rb2LiNbF6,0
Cs2AgTiCl6,0
Cs2GaAuCl6,0
K2SmAgCl6,3.5685
K0.625Rb0.25Cs0.125SnBr3,0.57
CsSr0.25Ba0.625Sn0.125Br3,3.349
Cs2NiSrCl6,0.765
KPbBr0.75Cl2.25,1.966
K2NiAuF6,0
Rb2MnCuF6,0
Rb2TaTlF6,0
K2RbDyCl6,4.5105
CsRb2AsI6,2.3568
Cs2CoHgCl6,0.315
Cs2GaHgCl6,0
K2CrAgF6,2.8775
Cs2NaNF6,2.7974
Rb2ScTlBr6,3.0758
RbCa0.875Sr0.125Cl3,4.874
KCa0.125Sr0.25Ba0.125Ge0.5Br3,3.042
K2SmAuCl6,2.2805
Cs2LiLaBr6,3.7835
K2ScHgF6,0
Na2GaCuF6,0
Rb0.125Cs0.875CaBr3,4.307
CsSrI1.5Br1.5,3.701
KMgF3,6.9537
Cs2GeSrCl6,3.997
CsRb2RhF6,2.2145
CoAgF3,0
Cs2NaYCl6,5.078
Rb2InAuBr6,0
K2InAgBr6,0.2343
Na2TbCuCl6,1.6434
K2RbTaCl6,0
Cs2CdTiCl6,0.075
Cs2NaTlI6,0.0817
K2LiTiF6,0
K2NaTaI6,0
Cs2NaBiF6,5.021
Cs2NaNbCl6,0
KRb2BiF6,4.7967
Na2CrAgF6,2.3255
Na2CuMoF6,0.275
K2LiSbF6,4.1086
K0.25Rb0.25Cs0.5CaCl3,5.033
Cs2SrTiCl6,0.234
RbCa0.375Ge0.125Pb0.5Br3,2.208
Rb2ScHgF6,0
Cs2LiYI6,3.0085
K2NaNiF6,0
KNaMg2F6,6.2869
Cs2KCrCl6,1.816
CsBa0.25Pb0.75I3,1.967
KNa2IrF6,1.4972
KRb2ScBr6,3.1918
K2NaTiF6,0
Rb2InHgF6,0
K2TaCuBr6,0
Rb2LiHoCl6,5.1901
Cs2RbBiCl6,4.1316
Cs2NaBiCl6,3.846
K2TaHgF6,0
K2TlIrF6,2.2493
Na2LiTmCl6,4.177
KRb2CrF6,4.339
Rb2CuNiF6,0
KNa2CrF6,3.7636
Cs2KYF6,6.464
Cs2RbTiCl6,0.09
Cs2CdHgCl6,0.924
Rb2NiAgF6,0
Cs2HgAsF6,0
K2TaTlF6,0
Cs2HgIrF6,0
Rb2LiSbCl6,2.9411
Rb2AgPdF6,0
Rb2TaCuI6,0
K0.375Rb0.125Cs0.5CaCl3,5.002
K4MgCu3F12,0
K2TlSbBr6,1.161
RbSr0.875Ge0.125Cl3,3.963
CsSr0.25Ba0.25Ge0.25Sn0.125Pb0.125I3,2.613
K2LiNdF6,6.3791
RbCa0.125Sr0.25Sn0.125Pb0.5I3,1.683
KSr0.125Ba0.375Ge0.125Sn0.125Pb0.25Br3,2.93
KRb2AlI6,1.7559
CsBa0.125Ge0.875I3,1.035
Cs2RbInBr6,2.5058
K2RbAsF6,3.8905
KGeBr2.25Cl0.75,0.617
Cs2CoHgF6,0
Cs2AuTiCl6,0.186
Rb0.875Cs0.125PbCl3,2.193
