system,band_gap
Cs2NaDyCl6,5.0424
Cs2PrCuI6,1.7764
Rb2TlHgF6,0
Rb2NaDyCl6,5.1403
K2AlTlF6,4.7545
CsBaBr3,3.996
Rb2NaSbI6,1.8884
Rb2AgAsF6,2.3267
K2LiGdCl6,2.8434
KCaBr1.5Cl1.5,4.156
Cs2RbAsI6,2.286
Rb2ScAgCl6,3.2973
RbCaCl1.875I1.125,3.524
Cs2NaMoCl6,1.538
Rb2GaAgCl6,1.213
Na2LiBiI6,1.9141
Rb2NaSbBr6,2.5605
CsYbCl3,5.3324
K2PrAgCl6,3.4664
K2NaTlF6,3.6205
Cs2TaCuCl6,0.04
KRb2AuF6,0.7444
Rb2TlRhF6,1.9393
CsGeBr0.75Cl2.25,0.93
Cs2NaMnF6,0
Cs2YCuF6,1.4267
CsHgBr3,0
KRb2TbCl6,4.6099
Cs2KAuF6,0.788
Cs2InCuF6,0.0917
K2NaGaCl6,2.9202
Rb2FeHgF6,0.2225
K2NdAgCl6,3.4986
Rb2YAuF6,1.5261
K2LaCuCl6,2.1254
Cs2RhAuF6,0.6011
K2PrCuI6,1.8073
Cs2TlFeF6,2.9057
Na2GaAgBr6,0.0426
Rb2ScTlCl6,3.4475
Cs2AgBiI6,0.8526
RbMnF3,2.9437
Rb2CuSbF6,0.9862
RbYbF3,6.5181
Cs2AgBiBr6,1.3547
Cs2RbGaBr6,2.1605
Rb2AsAuCl6,0.2593
Cs2AgBiF6,2.7645
Cs2SbAuF6,0.9819
Cs2AsAuCl6,0.3048
Rb2TmAgCl6,3.4694
K2RbAsBr6,3.0965
Na2LiTlCl6,1.6283
CsGeCl3,1.051
KRb2GaF6,5.864
K2BiAuCl6,0.9633
K2BiAuF6,1.0663
Na2CuBiF6,0.4491
K2RbScCl6,4.0698
Cs2KPrCl6,4.9929
Cs2ScAgBr6,2.8546
KRb2GaCl6,3.3948
Cs2GaAgF6,2.7308
Cs2TlAgF6,0.8053
K2NaGaF6,5.952
Cs2GaAgBr6,0.1101
K2AsAuI6,0
Cs2RbScCl6,4.069
Rb2ScAgF6,3.2846
Rb2TaCuCl6,0
Cs2RhTlCl6,1.535
Rb2NaAsF6,4.543
Na2InCuBr6,0
CsCaI3,3.713
Cs2RbScF6,6.6555
K2RbAlBr6,3.3626
Cs2KMoF6,4.1117
CsCaBr3,4.4
Cs2AgAsCl6,1.471
Rb2RuAuF6,0
Cs2CuSbBr6,0.4006
Na2TlCuCl6,0
KMnF3,2.6564
K2NdCuI6,1.8245
Rb2YCuF6,0.9338
K0.375Rb0.375Cs0.25CaI3,3.421
Rb2LiScF6,6.7042
Rb2NdAuCl6,2.2412
RbGeCl3,0.972
K2InCuCl6,0.0445
RbCaCl0.75I2.25,3.781
Rb2PrAgCl6,3.6461
KRb2GdCl6,3.253
K2LiTlBr6,0.5593
Rb2CuMoBr6,0.4005
CsCaCl1.875I1.125,3.811
K2NaSbCl6,3.1323
CsSnBr0.375Cl2.625,0.905
Cs2InAgF6,2.1888
Cs2KTlI6,0.5223
Cs2TaAgCl6,0
KRb2AsBr6,3.0145
CsK2IrF6,2.0177
Cs2YTlCl6,4.3248
Rb2InAgCl6,1.293
K2RbScF6,5.8541
Cs2NdAuCl6,2.2148
Cs2RbYBr6,4.1715
Cs2CuSbI6,0.6998
Cs2NaMoF6,4.3824
K2LiBiBr6,2.9174
Rb2YCuI6,1.8014
K2NaTlCl6,1.9894
Cs2RbGaF6,5.9411
KSrBr1.5Cl1.5,3.93
KRb2AuBr6,0
RbSnBr3,0.567
K2RbAlCl6,4.487
Na2GaAgCl6,1.1607
Na2AlHgCl6,0
Cs2ScCuF6,1.8308
Cs2LiYCl6,4.927
Rb2NaErF6,6.4981
Rb2NdCuI6,1.8116
Na2LiInF6,4.8635
K2SbAuI6,0
Cs2KAuBr6,0
Cs2ErAgCl6,3.5361
Cs2NaTlCl6,1.687
K2AlTlCl6,3.8301
Cs2RuAuF6,0
Rb2AsAuBr6,0
CsSrBr3,4.165
Rb2TlGaF6,4.4038
Cs2TlAgCl6,0
K2CuBiCl6,1.1617
Rb2TaAgCl6,0
Rb2AlAuBr6,0
Cs2ScAgF6,3.6511
K2CoHgF6,0
Rb2NaMoCl6,1.6224
Na2InAgCl6,1.284
RbSrBr1.5Cl1.5,4.089
Rb2PrAgBr6,3.2758
KSnI3,0.37
Rb2TaAgF6,0.2867
CsSrCl3,4.94
Cs2TlAuF6,0
Cs2LiYF6,7.2663
Rb2NdAgI6,2.5524
Cs2NaCeBr6,3.1789
KRb2AsI6,2.0398
Rb2TlRuF6,0
Cs2KGdCl6,3.2188
Cs2YAuI6,1.1517
Rb2MnHgF6,0.3673
K2LiBiI6,1.9247
Rb2AlAuCl6,0.8409
Cs2KAsCl6,3.598
CsRb2IrF6,2.3735
Cs2PrCuCl6,2.3465
KRb2AsF6,4.5539
K2AgBiI6,0.8096
Cs2NaGaCl6,2.848
K2NaSbF6,3.9986
KSnBr0.375Cl2.625,0.791
K2ErAgCl6,3.6443
Rb2TlHgBr6,0
K2HgAsCl6,0
Cs2TlAuCl6,0
Rb2YAgCl6,3.8008
Rb2AgBiF6,2.5561
Cs2RbAlBr6,3.2433
Na2AgAsF6,1.9406
Rb2HgSbF6,0
K2LiTbCl6,4.9973
Cs2ScAuF6,1.8594
K2LiInCl6,2.865
Rb2NdAgCl6,3.6549
Cs2YTlF6,4.7681
KCdF3,3.1006
Na2LiGdCl6,2.9065
CsSnBr3,0.634
Na2LaCuCl6,1.3857
Rb2NaSbCl6,3.0525
Cs2PrAuCl6,1.9281
Cs2ScCuCl6,2.064
K2RbGaCl6,3.5572
K2NaAsF6,4.4981
Rb2ScAuBr6,1.7436
Cs2ScAuCl6,2.0233
K2ScAuBr6,1.7408
Na2TlHgF6,0
Cs2KPrF6,6.2956
K2RbAsI6,2.3175
Rb2NaInBr6,2.0049
Cs2NaPrF6,6.6211
KCaF3,6.1392
Rb2LiScCl6,3.7539
KRb2CoF6,3.0848
Na2AlHgF6,0
Rb2NaGaBr6,1.6024
CsK2SbCl6,3.1654
K2TlCuF6,0
K2YAuF6,1.3878
KCaI3,3.258
K2PrAgBr6,3.1831
Rb2NaTlF6,3.6281
K0.125Rb0.375Cs0.5SnI3,0.433
Rb2LiGdCl6,2.8184
CsK2AsCl6,3.4978
Cs2HgBiCl6,0.111
Na2AlTlF6,4.0673
Cs2KAlBr6,3.2314
K2CuSbBr6,0.4007
K2AlAgCl6,2.4737
Cs2AgMoF6,2.7943
Rb2CuSbI6,0.7008
Cs2CuBiBr6,0.8439
Cs2KGaBr6,2.1255
Cs2AlAgCl6,2.4585
K2HgAsF6,0
K0.375Rb0.25Cs0.375SnBr3,0.583
Cs2RbInCl6,3.824
K2ScAgI6,2.1618
Cs2RbSbF6,4.0614
K2InCuF6,0
Cs2KCoF6,3.0136
Rb2NaTmCl6,5.0572
Rb2NaSbF6,4.1249
K2CuBiF6,0.8218
Na2LiTbCl6,3.96
Rb2TbAuCl6,2.2107
Na2LiRuF6,0
Rb2HgSbCl6,0
K2GaAgCl6,1.1817
Rb2TlCuCl6,0
CsK2AlI6,2.1419
Rb2TlInCl6,2.3962
K2NaTbCl6,4.9113
Cs2YAgCl6,3.851
Rb2HgBiCl6,0
RbPbBr3,1.752
CsPbI3,1.482
Cs2BaCaCl6,5.407
Cs2AlHgCl6,0
K2RbAlF6,5.9464
